Id,Year,Month,Day,Hour,Minute,Second,Temperature,Humidity,Safe Level,Water Level,Rain Status
0,2019,12,28,12,47,47,28.00,61.00,0,0,"0000
"
1,2019,12,28,12,47,49,28.00,61.00,60,0,"0000
"
2,2019,12,28,12,47,51,28.00,61.00,60,0,"0000
"
3,2019,12,28,12,47,53,28.00,61.00,7,0,"0000
"
4,2019,12,28,12,47,55,28.00,61.00,1261,0,"0000
"
5,2019,12,28,12,47,57,28.00,62.00,3,0,"0000
"
6,2019,12,28,12,47,59,28.00,62.00,5,0,"0000
"
7,2019,12,28,12,48,1,28.00,62.00,95,0,"0000
"
8,2019,12,28,12,48,3,28.00,62.00,6,0,"0000
"
9,2019,12,28,12,48,5,28.00,62.00,6,0,"0000
"
